Time , Signal value , Temperature , Humidity , Battery Voltage , Light Sensor Value 
00:24:30,0,29.96,81.37,0.18,0.0
00:24:32,0,29.92,81.37,0.18,0.0
00:24:34,0,29.95,81.36,0.21,0.0
00:24:36,0,29.93,81.37,0.18,0.0
00:24:37,0,29.95,81.38,0.18,0.0
00:24:39,0,29.93,81.38,0.18,0.0
00:24:40,0,29.93,81.38,0.18,0.0
00:24:42,0,29.94,81.37,0.18,0.0
00:24:44,0,29.91,81.39,0.18,0.0
00:24:47,0,29.92,81.45,0.21,0.0
00:24:53,0,29.9,81.45,0.18,0.0
00:26:22,-61,29.94,80.96,0.18,0.0
00:26:24,-61,29.92,80.98,0.18,0.0
00:29:07,-60,29.99,81.36,0.18,18.1
00:29:09,-60,29.94,81.34,0.21,0.0
00:29:11,-60,29.95,81.34,0.21,18.1
00:29:12,-60,29.99,81.37,0.25,0.0
00:29:13,-60,29.97,81.36,0.21,0.0
00:29:15,-61,29.96,81.35,0.18,0.0
00:29:16,-60,29.96,81.38,0.18,0.0
00:29:17,-61,29.97,81.37,0.18,0.0
00:29:19,-61,29.95,81.34,0.18,0.0
00:29:20,-61,29.98,81.36,0.18,0.0
00:29:21,-60,29.98,81.33,0.18,0.0
00:29:23,-60,29.95,81.33,0.18,0.0
00:29:24,-61,29.96,81.34,0.18,0.0
00:29:25,-61,29.97,81.35,0.18,0.0
00:29:27,-60,30.01,81.36,0.18,0.0
00:29:29,-60,29.98,81.35,0.18,0.0
00:29:31,-61,29.99,81.37,0.18,0.0
01:31:00,-62,30.08,80.35,0.18,5.72
01:31:08,-63,30.04,80.37,0.18,5.72
01:31:22,-62,30.05,80.29,0.18,5.83
01:31:29,-63,30.02,80.31,0.18,5.92
01:31:51,-63,30.06,80.23,0.18,5.92
01:31:56,-62,30.05,80.23,0.18,5.86
01:32:10,-62,30.04,80.27,0.18,5.83
01:32:17,-63,30.04,80.22,0.18,5.86
01:32:31,-63,30.06,80.27,0.18,5.89
01:32:36,-64,30.04,80.25,0.18,0.66
01:32:47,-63,30.07,80.25,0.18,0.58
01:32:53,-63,30.05,80.21,0.18,0.61
01:35:16,-63,29.92,79.9,0.18,0.66
01:35:26,-63,29.9,79.85,0.18,0.66
01:36:05,-63,29.82,80.01,0.18,0.66
01:36:09,-62,29.82,79.99,0.18,0.66
01:36:13,-63,29.83,80.0,0.18,0.61
01:36:23,-63,29.8,80.09,0.18,0.61
01:37:35,-62,29.74,80.64,0.18,0.66
01:37:43,-63,29.75,80.72,0.18,0.66
01:37:51,-63,29.77,80.76,0.18,0.66
01:38:05,-63,29.73,80.87,0.18,0.61
01:38:13,-63,29.72,80.88,0.18,0.66
01:38:28,-63,29.71,80.93,0.18,0.66
01:38:36,-63,29.71,80.95,0.18,0.66
01:38:41,-63,29.7,80.92,0.18,0.66
01:38:51,-62,29.69,80.98,0.18,0.64
01:38:59,-62,29.69,80.99,0.18,0.66
01:39:13,-62,29.69,81.01,0.18,0.66
01:39:24,-62,29.72,81.02,0.18,0.61
01:41:49,-62,29.74,80.96,0.18,0.66
01:41:59,-61,29.72,80.99,0.18,0.66
01:42:14,-62,29.73,80.97,0.18,0.61
01:42:21,-62,29.73,80.93,0.18,0.66
01:42:35,-63,29.73,80.94,0.18,0.64
01:42:49,-63,29.72,80.93,0.18,0.66
01:42:55,-63,29.73,80.96,0.18,0.66
01:43:01,-63,29.72,80.95,0.18,0.61
01:43:16,-64,29.72,80.96,0.18,0.61
01:43:21,-63,29.73,80.97,0.18,0.66
01:43:28,-63,29.73,80.97,0.18,0.66
01:43:35,-62,29.73,80.94,0.18,0.66
01:43:42,-63,29.71,80.96,0.18,0.61
01:44:04,-63,29.73,80.86,0.18,0.61
01:44:26,-62,29.73,80.69,0.18,0.66
01:44:34,-63,29.73,80.61,0.18,0.61
01:44:44,-62,29.73,80.52,0.18,0.66
01:44:53,-62,29.73,80.44,0.18,0.58
01:44:58,-62,29.73,80.41,0.18,0.66
01:45:12,-63,29.73,80.26,0.18,0.61
01:45:19,-63,29.72,80.17,0.18,0.66
01:47:48,-62,29.61,80.12,0.18,0.66
01:47:57,-63,29.61,80.11,0.18,0.66
01:48:19,-62,29.58,80.21,0.18,0.66
01:48:23,-62,29.61,80.2,0.18,0.66
01:48:45,-61,29.57,80.39,0.18,0.66
01:48:56,-62,29.54,80.5,0.18,0.66
01:49:02,-62,29.57,80.53,0.18,0.66
01:49:24,-62,29.53,80.51,0.18,0.61
01:49:29,-62,29.5,80.47,0.18,0.66
01:49:51,-62,29.51,80.74,0.18,0.66
01:50:06,-62,29.49,80.88,0.18,6.56
01:50:11,-63,29.5,80.93,0.18,6.35
01:50:33,-63,29.49,81.09,0.18,6.35
01:50:41,-63,29.48,81.25,0.18,6.35
01:50:47,-63,29.48,81.38,0.18,6.32
01:50:53,-63,29.48,81.42,0.18,6.24
01:51:15,-61,29.48,81.65,0.18,5.95
01:51:30,-61,29.48,81.62,0.18,5.78
01:51:38,-61,29.49,81.54,0.18,5.6
01:51:44,-62,29.48,81.59,0.18,5.86
01:51:58,-62,29.5,81.53,0.18,6.06
01:52:05,-62,29.5,81.57,0.18,0.64
01:52:19,-62,29.5,81.67,0.18,0.61
01:52:28,-63,29.53,81.7,0.18,0.64
01:52:36,-63,29.52,81.58,0.18,0.64
01:52:45,-62,29.52,81.61,0.18,0.64
